playerID,guess,at_least,season4
blowemi01,4.833343,1.5,57
blowemi01,29.333392,42.75,49
blowemi01,43.833421,36.75,96
blowemi01,73.833481,72.0,38
blowemi01,59.166785,28.5,20
blowemi01,38.666744,15.0,71
hillech01,27.500055,12.75,22
hillech01,22.166711,16.5,14
hillech01,17.166701,10.5,5
hernara02,51.333436,31.5,78
hernara02,63.000126,58.5,63
hernara02,64.500129,47.25,58
hernara02,63.000126,43.5,91
hernara02,75.333484,68.25,62
hernara02,71.000142,46.5,65
hernara02,68.33347,48.75,37
hernara02,50.500101,27.75,48
hernara02,47.166761,36.0,36
hernara02,40.166747,27.0,28
spraged02,47.500095,33.0,74
spraged02,63.833461,55.5,101
spraged02,82.500165,75.75,48
spraged02,70.00014,36.0,58
spraged02,61.833457,43.5,81
spraged02,67.833469,60.75,36
demetdo01,39.166745,21.75,70
demetdo01,56.333446,52.5,107
demetdo01,81.66683,80.25,83
demetdo01,88.833511,62.25,80
demetdo01,85.500171,60.0,58
demetdo01,69.500139,43.5,41
davisch02,20.666708,14.25,85
davisch02,49.500099,63.75,138
davisch02,100.500201,103.5,72
roberbi01,30.333394,33.0,32
roberbi01,34.833403,24.0,45
roberbi01,40.500081,33.75,18
roberbi01,29.333392,13.5,31
roberbi01,29.000058,23.25,25
roberbi01,25.833385,18.75,52
roberbi01,39.500079,39.0,44
roberle01,18.33337,1.5,92
roberle01,52.166771,69.0,54
roberle01,58.000116,40.5,33
roberle01,49.833433,24.75,31
roberle01,35.500071,23.25,11
roberle01,21.333376,8.25,24
tysonmi01,36.333406,27.75,28
tysonmi01,32.500065,21.0,57
tysonmi01,44.000088,42.75,26
tysonmi01,36.66674,19.5,20
tysonmi01,28.166723,15.0,23
clarkro02,12.166691,9.0,0
clarkro02,6.166679,0.0,6
hopkiga01,40.833415,35.25,5
hopkiga01,23.000046,3.75,16
canoro01,81.333496,54.0,85
canoro01,82.666832,63.75,109
canoro01,94.833523,81.75,118
canoro01,109.500219,88.5,94
canoro01,104.500209,70.5,107
canoro01,104.500209,80.25,82
thompro01,48.33343,37.5,56
thompro01,52.666772,42.0,48
thompro01,51.000102,36.0,49
thompro01,49.833433,36.75,65
thompro01,56.833447,48.75,7
thompro01,33.3334,5.25,23
sizemgr01,77.833489,58.5,90
sizemgr01,83.666834,67.5,64
sizemgr01,75.00015,48.0,13
sizemgr01,42.833419,9.75,32
sizemgr01,31.000062,24.0,27
clinety01,14.500029,7.5,13
clinety01,14.500029,9.75,10
clinety01,11.000022,7.5,8
clinety01,9.500019,6.0,4
clinety01,6.333346,3.0,28
clinety01,16.6667,21.0,12
clinety01,16.000032,9.0,8
sweenry01,42.333418,39.75,36
sweenry01,43.166753,27.0,25
sweenry01,33.3334,18.75,16
sweenry01,22.333378,12.0,19
browndo01,53.33344,62.25,63
kunkeje01,1.66667,1.5,15
kunkeje01,8.500017,11.25,29
kunkeje01,19.833373,21.75,17
saboch01,72.500145,66.0,43
saboch01,62.666792,32.25,82
saboch01,70.00014,61.5,42
saboch01,55.500111,31.5,11
waitked01,32.000064,12.0,33
mendoma01,6.333346,3.0,3
mendoma01,4.833343,2.25,29
mendoma01,16.166699,21.75,14
mendoma01,17.166701,10.5,22
dilonmi01,0.0,0.0,14
dilonmi01,7.000014,10.5,7
dilonmi01,8.166683,5.25,40
dilonmi01,24.666716,30.0,19
dilonmi01,24.000048,14.25,25
dilonmi01,25.500051,18.75,7
dilonmi01,15.00003,5.25,10
conlege01,3.833341,3.0,2
conlege01,3.000006,1.5,2
conlege01,2.333338,1.5,5
conlege01,3.500007,3.75,5
conlege01,4.500009,3.75,8
conlege01,6.500013,6.0,11
allenga01,26.500053,24.75,30
allenga01,30.166727,22.5,8
stankan01,5.166677,5.25,9
stankan01,7.666682,6.75,5
jonesda03,26.333386,18.75,29
jonesda03,26.66672,21.75,33
jonesda03,30.333394,24.75,21
jonesda03,26.333386,15.75,11
vealco01,9.166685,6.0,0
belliro01,45.666758,27.0,26
belliro01,34.000068,19.5,50
belliro01,39.666746,37.5,70
belliro01,56.000112,52.5,78
belliro01,70.666808,58.5,67
belliro01,71.166809,50.25,58
belliro01,64.333462,43.5,46
belliro01,53.500107,34.5,39
gibsoki01,33.500067,26.25,51
gibsoki01,43.833421,38.25,91
gibsoki01,68.33347,68.25,97
gibsoki01,87.333508,72.75,86
gibsoki01,90.500181,64.5,79
gibsoki01,84.333502,59.25,76
gibsoki01,78.666824,57.0,28
gibsoki01,52.500105,21.0,38
gibsoki01,41.000082,28.5,55
gibsoki01,44.833423,41.25,5
gibsoki01,27.166721,3.75,62
gibsoki01,41.833417,46.5,72
beckhgo01,52.833439,45.0,24
beckhgo01,39.333412,18.0,44
mckinri01,13.500027,5.25,0
mckinri01,3.500007,0.0,2
wockejo01,18.000036,18.75,22
wockejo01,21.000042,16.5,46
wockejo01,34.500069,34.5,65
wockejo01,51.500103,48.75,25
wockejo01,41.833417,18.75,32
wockejo01,35.166737,24.0,44
wockejo01,36.833407,33.0,24
niekrjo01,4.833343,5.25,2
niekrjo01,4.000008,1.5,1
