playerID,yearID,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_RBI,B_SB,B_CS,B_BB,B_SO,B_IBB,B_HBP,B_SH,B_SF
aaronha01,1954,122,468,58,131,27,6,13,69,2,2,28,39,0.0,3,6,4
aaronha01,1955,153,602,105,189,37,9,27,106,3,1,49,61,5,3,7,4
aaronha01,1956,153,609,106,200,34,14,26,92,2,4,37,54,6,2,5,7
aaronha01,1957,151,615,118,198,27,6,44,132,1,1,57,58,15,0,0,3
aaronha01,1958,153,601,109,196,34,4,30,95,4,1,59,49,16,1,0,3
aaronha01,1959,154,629,116,223,46,7,39,123,8,0,51,54,17,4,0,9
aaronha01,1960,153,590,102,172,20,11,40,126,16,7,60,63,13,2,0,12
aaronha01,1961,155,603,115,197,39,10,34,120,21,9,56,64,20,2,1,9
aaronha01,1962,156,592,127,191,28,6,45,128,15,7,66,73,14,3,0,6
aaronha01,1963,161,631,121,201,29,4,44,130,31,5,78,94,18,0,0,5
aaronha01,1964,145,570,103,187,30,2,24,95,22,4,62,46,9,0,0,2
aaronha01,1965,150,570,109,181,40,1,32,89,24,4,60,81,10,1,0,8
aaronha01,1966,158,603,117,168,23,1,44,127,21,3,76,96,15,1,0,8
aaronha01,1967,155,600,113,184,37,3,39,109,17,6,63,97,19,0,0,6
aaronha01,1968,160,606,84,174,33,4,29,86,28,5,64,62,23,1,0,5
aaronha01,1969,147,547,100,164,30,3,44,97,9,10,87,47,19,2,0,3
aaronha01,1970,150,516,103,154,26,1,38,118,9,0,74,63,15,2,0,6
aaronha01,1971,139,495,95,162,22,3,47,118,1,1,71,58,21,2,0,5
aaronha01,1972,129,449,75,119,10,0,34,77,4,0,92,55,15,1,0,2
aaronha01,1973,120,392,84,118,12,1,40,96,1,1,68,51,13,1,0,4
aaronha01,1974,112,340,47,91,16,0,20,69,1,0,39,29,6,0,1,2
aaronha01,1975,137,465,45,109,16,2,12,60,0,1,70,51,3,1,1,6
aaronha01,1976,85,271,22,62,8,0,10,35,0,1,35,38,1,0,0,2
aaronto01,1962,141,334,54,77,20,2,8,38,6,0,41,58,0,0,4,3
aaronto01,1963,72,135,6,27,6,1,1,15,0,3,11,27,1,0,3,2
aaronto01,1965,8,16,1,3,0,0,0,1,0,0,1,2,0,0,0,0
aaronto01,1968,98,283,21,69,10,3,1,25,3,4,21,37,1,0,2,1
aaronto01,1969,49,60,13,15,2,0,1,5,0,1,6,6,0,0,0,0
aaronto01,1970,44,63,3,13,2,0,2,7,0,0,3,10,0,0,0,0
aaronto01,1971,25,53,4,12,2,0,0,3,0,0,3,5,1,0,0,0
abbotje01,1997,19,38,8,10,1,0,1,2,0,0,0,6,0,0,0,0
abbotje01,1998,89,244,33,68,14,1,12,41,3,3,9,28,1,0,2,5
abbotje01,1999,17,57,5,9,0,0,2,6,1,1,5,12,0,0,1,1
abbotje01,2000,80,215,31,59,15,1,3,29,2,1,21,38,1,2,2,1
abbotje01,2001,28,42,5,11,3,0,0,5,0,0,3,7,0,1,0,0
abbotku01,1993,20,61,11,15,1,0,3,9,2,0,3,20,0,0,3,0
abbotku01,1994,101,345,41,86,17,3,9,33,3,0,16,98,1,5,3,2
abbotku01,1995,120,420,60,107,18,7,17,60,4,3,36,110,4,5,2,5
abbotku01,1996,109,320,37,81,18,7,8,33,3,3,22,99,1,3,4,0
abbotku01,1997,94,252,35,69,18,2,6,30,3,1,14,68,3,1,6,0
abbotku01,1998,77,194,26,51,13,1,5,24,2,1,12,53,0,2,1,3
abbotku01,1999,96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1
abbotku01,2000,79,157,22,34,7,1,6,12,1,1,14,51,2,1,0,1
abbotku01,2001,6,9,0,2,0,0,0,0,1,0,0,3,0,0,0,0
abnersh01,1987,16,47,5,13,3,1,2,7,1,0,2,8,0,0,0,0
abnersh01,1988,37,83,6,15,3,0,2,5,0,1,4,19,1,1,0,1
abnersh01,1989,57,102,13,18,4,0,2,14,1,0,5,20,2,0,0,1
abnersh01,1990,91,184,17,45,9,0,1,15,2,3,9,28,1,2,2,1
abnersh01,1991,94,216,27,42,10,2,3,14,1,2,11,43,4,1,1,1
abnersh01,1992,97,208,21,58,10,1,1,16,1,2,12,35,2,3,2,3
abramca01,1950,38,44,5,9,1,0,0,4,0,0.0,9,13,0.0,0,1,0.0
abramca01,1951,67,150,27,42,8,0,3,19,3,2,36,26,0.0,0,0,0.0
abramca01,1952,81,168,24,46,9,2,2,13,1,0,21,29,0.0,0,0,0.0
abramca01,1953,119,448,66,128,10,6,15,43,4,4,58,70,0.0,0,6,0.0
abramca01,1954,132,465,73,130,23,8,6,27,1,4,82,76,0.0,4,6,1
abramca01,1955,118,309,56,75,12,3,6,32,2,8,89,69,2,3,3,3
abramca01,1956,4,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0
abreubo01,1996,15,22,1,5,1,0,0,1,0,0,2,3,0,0,0,0
abreubo01,1997,59,188,22,47,10,2,3,26,7,2,21,48,0,1,0,0
abreubo01,1998,151,497,68,155,29,6,17,74,19,10,84,133,14,0,4,4
abreubo01,1999,152,546,118,183,35,11,20,93,27,9,109,113,8,3,0,4
abreubo01,2000,154,576,103,182,42,10,25,79,28,8,100,116,9,1,0,3
abreubo01,2001,162,588,118,170,48,4,31,110,36,14,106,137,11,1,0,9
abreubo01,2002,157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6
