playerID,yearID,season1,season2,season3,season4
blowemi01,1990,27,7,14,106
blowemi01,1991,7,14,106,78
blowemi01,1992,14,106,78,113
blowemi01,1993,106,78,113,84
blowemi01,1994,78,113,84,44
blowemi01,1995,113,84,44,97
hillech01,1962,166,93,37,69
hillech01,1963,93,37,69,71
hillech01,1964,37,69,71,18
hernara02,2000,101,115,94,132
hernara02,2001,115,94,132,106
hernara02,2002,94,132,106,107
hernara02,2003,132,106,107,138
hernara02,2004,106,107,138,94
hernara02,2005,107,138,94,119
hernara02,2006,138,94,119,74
hernara02,2007,94,119,74,93
hernara02,2008,119,74,93,84
hernara02,2009,74,93,84,40
spraged02,1992,11,142,97,127
spraged02,1993,142,97,127,146
spraged02,1994,97,127,146,115
spraged02,1995,127,146,115,104
spraged02,1996,146,115,104,131
spraged02,1997,115,104,131,65
demetdo01,1958,20,95,46,103
demetdo01,1959,95,46,103,169
demetdo01,1960,46,103,169,133
demetdo01,1961,103,169,133,113
demetdo01,1962,169,133,113,108
demetdo01,1963,133,113,108,87
davisch02,2009,93,23,53,139
davisch02,2010,23,53,139,167
davisch02,2011,53,139,167,88
roberbi01,1988,3,99,172,119
roberbi01,1989,99,172,119,172
roberbi01,1990,172,119,172,70
roberbi01,1991,119,172,70,129
roberbi01,1992,172,70,129,90
roberbi01,1993,70,129,90,96
roberbi01,1994,129,90,96,130
roberle01,1975,115,68,2,142
roberle01,1976,68,2,142,122
roberle01,1977,2,142,122,94
roberle01,1978,142,122,94,65
roberle01,1979,122,94,65,41
roberle01,1980,94,65,41,55
tysonmi01,1973,114,94,98,70
tysonmi01,1974,94,98,70,103
tysonmi01,1975,98,70,103,88
tysonmi01,1976,70,103,88,42
tysonmi01,1977,103,88,42,81
clarkro02,1967,10,42,33,0
clarkro02,1968,42,33,0,14
hopkiga01,1969,99,82,82,15
hopkiga01,1970,82,82,15,34
canoro01,2006,165,189,162,204
canoro01,2007,189,162,204,200
canoro01,2008,162,204,200,188
canoro01,2009,204,200,188,196
canoro01,2010,200,188,196,190
canoro01,2011,188,196,190,187
thompro01,1987,110,126,132,122
thompro01,1988,126,132,122,129
thompro01,1989,132,122,129,115
thompro01,1990,122,129,115,154
thompro01,1991,129,115,154,27
thompro01,1992,115,154,27,75
sizemgr01,2005,185,190,174,170
sizemgr01,2006,190,174,170,108
sizemgr01,2007,174,170,108,27
sizemgr01,2008,170,108,27,60
sizemgr01,2009,108,27,60,81
clinety01,1961,9,93,41,35
clinety01,1962,93,41,35,42
clinety01,1963,41,35,42,24
clinety01,1964,35,42,24,33
clinety01,1965,42,24,33,65
clinety01,1966,24,33,65,50
clinety01,1967,33,65,50,18
sweenry01,2007,9,110,142,89
sweenry01,2008,110,142,89,70
sweenry01,2009,142,89,70,53
sweenry01,2010,89,70,53,51
browndo01,2011,45,44,135,111
kunkeje01,1985,1,3,7,35
kunkeje01,1986,3,7,35,79
kunkeje01,1987,7,35,79,34
saboch01,1989,79,153,175,84
saboch01,1990,153,175,84,143
saboch01,1991,175,84,143,66
saboch01,1992,84,143,66,20
waitked01,1951,157,144,72,88
mendoma01,1975,9,17,16,12
mendoma01,1976,17,16,12,74
mendoma01,1977,16,12,74,68
mendoma01,1978,12,74,68,53
dilonmi01,1975,0,4,6,59
dilonmi01,1976,4,6,59,28
dilonmi01,1977,6,59,28,180
dilonmi01,1978,59,28,180,78
dilonmi01,1979,28,180,78,89
dilonmi01,1980,180,78,89,13
dilonmi01,1981,78,89,13,47
conlege01,1954,12,11,7,9
conlege01,1955,11,7,9,3
conlege01,1956,7,9,3,16
conlege01,1957,9,3,16,8
conlege01,1958,3,16,8,16
conlege01,1959,16,8,16,18
