playerID,age,season1,season2,season3,season4
blowemi01,25,5,1,1,15
blowemi01,26,1,1,15,9
blowemi01,27,1,15,9,23
blowemi01,28,15,9,23,6
blowemi01,29,9,23,6,5
blowemi01,30,23,6,5,11
hillech01,28,3,6,1,6
hillech01,29,6,1,6,2
hillech01,30,1,6,2,0
hernara02,24,14,15,7,21
hernara02,25,15,7,21,18
hernara02,26,7,21,18,12
hernara02,27,21,18,12,23
hernara02,28,18,12,23,9
hernara02,29,12,23,9,15
hernara02,30,23,9,15,5
hernara02,31,9,15,5,7
hernara02,32,15,5,7,12
hernara02,33,5,7,12,5
spraged02,25,1,12,11,18
spraged02,26,12,11,18,36
spraged02,27,11,18,36,14
spraged02,28,18,36,14,20
spraged02,29,36,14,20,22
spraged02,30,14,20,22,12
demetdo01,23,5,18,9,21
demetdo01,24,18,9,21,29
demetdo01,25,9,21,29,22
demetdo01,26,21,29,22,22
demetdo01,27,29,22,22,16
demetdo01,28,22,22,16,14
davisch02,23,21,1,5,33
davisch02,24,1,5,33,53
davisch02,25,5,33,53,26
roberbi01,25,0,3,9,3
roberbi01,26,3,9,3,4
roberbi01,27,9,3,4,1
roberbi01,28,3,4,1,2
roberbi01,29,4,1,2,2
roberbi01,30,1,2,2,0
roberbi01,31,2,2,0,4
roberle01,24,10,7,0,22
roberle01,25,7,0,22,15
roberle01,26,0,22,15,10
roberle01,27,22,15,10,4
roberle01,28,15,10,4,2
roberle01,29,10,4,2,8
tysonmi01,23,1,1,2,3
tysonmi01,24,1,2,3,7
tysonmi01,25,2,3,7,3
tysonmi01,26,3,7,3,5
tysonmi01,27,7,3,5,3
clarkro02,24,2,1,0,0
clarkro02,25,1,0,0,2
hopkiga01,26,8,6,9,0
hopkiga01,27,6,9,0,2
canoro01,24,15,19,14,25
canoro01,25,19,14,25,29
canoro01,26,14,25,29,28
canoro01,27,25,29,28,33
canoro01,28,29,28,33,27
canoro01,29,28,33,27,14
thompro01,25,10,7,13,15
thompro01,26,7,13,15,19
thompro01,27,13,15,19,14
thompro01,28,15,19,14,19
thompro01,29,19,14,19,2
thompro01,30,14,19,2,8
sizemgr01,23,22,28,24,33
sizemgr01,24,28,24,33,18
sizemgr01,25,24,33,18,0
sizemgr01,26,33,18,0,10
sizemgr01,27,18,0,10,5
clinety01,22,0,2,0,1
clinety01,23,2,0,1,0
clinety01,24,0,1,0,0
clinety01,25,1,0,0,0
clinety01,26,0,0,0,1
clinety01,27,0,0,1,2
clinety01,28,0,1,2,0
sweenry01,22,1,5,6,1
sweenry01,23,5,6,1,1
sweenry01,24,6,1,1,0
sweenry01,25,1,1,0,6
browndo01,24,5,5,27,10
kunkeje01,23,0,1,1,2
kunkeje01,24,1,1,2,8
kunkeje01,25,1,2,8,3
saboch01,27,6,25,26,12
saboch01,28,25,26,12,21
saboch01,29,26,12,21,11
saboch01,30,12,21,11,1
waitked01,32,1,2,1,2
mendoma01,25,0,0,0,1
mendoma01,26,0,0,1,1
mendoma01,27,0,1,1,2
mendoma01,28,1,1,2,0
dilonmi01,21,0,0,0,1
dilonmi01,22,0,0,1,1
dilonmi01,23,0,1,1,0
dilonmi01,24,1,1,0,0
dilonmi01,25,1,0,0,3
dilonmi01,26,0,0,3,0
dilonmi01,27,0,3,0,1
conlege01,24,0,0,0,0
